[2020.06.02 15:52:19] | INFO  | [Node2D.gd] [_ready()] >> 1 animal born
[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 22 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 23 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 24 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 28 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 29 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 30 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 31 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 32 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 33 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 34 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 35 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 36 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 37 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 38 animal dead

[2020.06.02 15:53:10] | INFO  | [Node2D.gd] [_ready()] >> 39 animal dead

[2020.06.02 15:53:11] | INFO  | [Node2D.gd] [_ready()] >> 79 animal born

[2020.06.02 15:53:12] | INFO  | [Node2D.gd] [_ready()] >> 80 animal born

[2020.06.02 15:53:12] | INFO  | [Node2D.gd] [_ready()] >> 81 animal born

[2020.06.02 15:53:12] | INFO  | [Node2D.gd] [_ready()] >> 82 animal born

[2020.06.02 15:53:12] | INFO  | [Node2D.gd] [_ready()] >> 83 animal born

[2020.06.02 15:53:17] | INFO  | [Node2D.gd] [_ready()] >> 84 animal born

[2020.06.02 15:53:17] | INFO  | [Node2D.gd] [_ready()] >> 85 animal born

[2020.06.02 15:53:18] | INFO  | [Node2D.gd] [_ready()] >> 86 animal born

[2020.06.02 15:53:18] | INFO  | [Node2D.gd] [_ready()] >> 87 animal born

[2020.06.02 15:53:18] | INFO  | [Node2D.gd] [_ready()] >> 88 animal born

[2020.06.02 15:53:18] | INFO  | [Node2D.gd] [_ready()] >> 89 animal born

[2020.06.02 15:53:19] | INFO  | [Node2D.gd] [_ready()] >> 90 animal born

[2020.06.02 15:53:19] | INFO  | [Node2D.gd] [_ready()] >> 91 animal born

[2020.06.02 15:53:20] | INFO  | [Node2D.gd] [_ready()] >> 92 animal born

[2020.06.02 15:53:20] | INFO  | [Node2D.gd] [_ready()] >> 93 animal born

[2020.06.02 15:53:23] | INFO  | [Node2D.gd] [_ready()] >> 94 animal born

[2020.06.02 15:53:24] | INFO  | [Node2D.gd] [_ready()] >> 45 animal dead

[2020.06.02 15:53:24] | INFO  | [Node2D.gd] [_ready()] >> 46 animal dead

[2020.06.02 15:53:24] | INFO  | [Node2D.gd] [_ready()] >> 47 animal dead

[2020.06.02 15:53:24] | INFO  | [Node2D.gd] [_ready()] >> 48 animal dead

[2020.06.02 15:53:24] | INFO  | [Node2D.gd] [_ready()] >> 49 animal dead

[2020.06.02 15:53:24] | INFO  | [Node2D.gd] [_ready()] >> 50 animal dead

[2020.06.02 15:53:24] | INFO  | [Node2D.gd] [_ready()] >> 51 animal dead

[2020.06.02 15:53:24] | INFO  | [Node2D.gd] [_ready()] >> 52 animal dead

[2020.06.02 15:53:24] | INFO  | [Node2D.gd] [_ready()] >> 53 animal dead

[2020.06.02 15:53:25] | INFO  | [Node2D.gd] [_ready()] >> 54 animal dead

[2020.06.02 15:53:25] | INFO  | [Node2D.gd] [_ready()] >> 55 animal dead

[2020.06.02 15:53:26] | INFO  | [Node2D.gd] [_ready()] >> 95 animal born

[2020.06.02 15:53:26] | INFO  | [Node2D.gd] [_ready()] >> 96 animal born

[2020.06.02 15:53:27] | INFO  | [Node2D.gd] [_ready()] >> 97 animal born

[2020.06.02 15:53:28] | INFO  | [Node2D.gd] [_ready()] >> 98 animal born

[2020.06.02 15:53:28] | INFO  | [Node2D.gd] [_ready()] >> 99 animal born

[2020.06.02 15:53:28] | INFO  | [Node2D.gd] [_ready()] >> 100 animal born

[2020.06.02 15:53:29] | INFO  | [Node2D.gd] [_ready()] >> 101 animal born

[2020.06.02 15:53:29] | INFO  | [Node2D.gd] [_ready()] >> 102 animal born

[2020.06.02 15:53:31] | INFO  | [Node2D.gd] [_ready()] >> 103 animal born

[2020.06.02 15:53:31] | INFO  | [Node2D.gd] [_ready()] >> 104 animal born

[2020.06.02 15:53:32] | INFO  | [Node2D.gd] [_ready()] >> 105 animal born

[2020.06.02 15:53:32] | INFO  | [Node2D.gd] [_ready()] >> 106 animal born

[2020.06.02 15:53:33] | INFO  | [Node2D.gd] [_ready()] >> 107 animal born

[2020.06.02 15:53:33] | INFO  | [Node2D.gd] [_ready()] >> 56 animal dead

[2020.06.02 15:53:33] | INFO  | [Node2D.gd] [_ready()] >> 108 animal born

[2020.06.02 15:53:34] | INFO  | [Node2D.gd] [_ready()] >> 58 animal dead

[2020.06.02 15:53:34] | INFO  | [Node2D.gd] [_ready()] >> 109 animal born

[2020.06.02 15:53:34] | INFO  | [Node2D.gd] [_ready()] >> 59 animal dead

[2020.06.02 15:53:34] | INFO  | [Node2D.gd] [_ready()] >> 60 animal dead

[2020.06.02 15:53:35] | INFO  | [Node2D.gd] [_ready()] >> 110 animal born

[2020.06.02 15:53:36] | INFO  | [Node2D.gd] [_ready()] >> 111 animal born

[2020.06.02 15:53:36] | INFO  | [Node2D.gd] [_ready()] >> 112 animal born

[2020.06.02 15:53:36] | INFO  | [Node2D.gd] [_ready()] >> 62 animal dead

[2020.06.02 15:53:36] | INFO  | [Node2D.gd] [_ready()] >> 63 animal dead

[2020.06.02 15:53:39] | INFO  | [Node2D.gd] [_ready()] >> 113 animal born

[2020.06.02 15:53:39] | INFO  | [Node2D.gd] [_ready()] >> 64 animal dead

[2020.06.02 15:53:39] | INFO  | [Node2D.gd] [_ready()] >> 65 animal dead

[2020.06.02 15:53:40] | INFO  | [Node2D.gd] [_ready()] >> 114 animal born

[2020.06.02 15:53:40] | INFO  | [Node2D.gd] [_ready()] >> 115 animal born

[2020.06.02 15:53:41] | INFO  | [Node2D.gd] [_ready()] >> 116 animal born

[2020.06.02 15:53:41] | INFO  | [Node2D.gd] [_ready()] >> 117 animal born

[2020.06.02 15:53:42] | INFO  | [Node2D.gd] [_ready()] >> 118 animal born

[2020.06.02 15:53:42] | INFO  | [Node2D.gd] [_ready()] >> 119 animal born

[2020.06.02 15:53:42] | INFO  | [Node2D.gd] [_ready()] >> 66 animal dead

[2020.06.02 15:53:42] | INFO  | [Node2D.gd] [_ready()] >> 68 animal dead

[2020.06.02 15:53:43] | INFO  | [Node2D.gd] [_ready()] >> 120 animal born

[2020.06.02 15:53:44] | INFO  | [Node2D.gd] [_ready()] >> 121 animal born

[2020.06.02 15:53:44] | INFO  | [Node2D.gd] [_ready()] >> 122 animal born

[2020.06.02 15:53:44] | INFO  | [Node2D.gd] [_ready()] >> 69 animal dead

[2020.06.02 15:53:44] | INFO  | [Node2D.gd] [_ready()] >> 70 animal dead

[2020.06.02 15:53:44] | INFO  | [Node2D.gd] [_ready()] >> 71 animal dead

[2020.06.02 15:53:46] | INFO  | [Node2D.gd] [_ready()] >> 123 animal born

[2020.06.02 15:53:46] | INFO  | [Node2D.gd] [_ready()] >> 72 animal dead

[2020.06.02 15:53:47] | INFO  | [Node2D.gd] [_ready()] >> 124 animal born

[2020.06.02 15:53:47] | INFO  | [Node2D.gd] [_ready()] >> 73 animal dead

[2020.06.02 15:53:47] | INFO  | [Node2D.gd] [_ready()] >> 125 animal born

[2020.06.02 15:53:48] | INFO  | [Node2D.gd] [_ready()] >> 126 animal born

[2020.06.02 15:53:49] | INFO  | [Node2D.gd] [_ready()] >> 127 animal born

[2020.06.02 15:53:49] | INFO  | [Node2D.gd] [_ready()] >> 128 animal born

[2020.06.02 15:53:49] | INFO  | [Node2D.gd] [_ready()] >> 129 animal born

[2020.06.02 15:53:52] | INFO  | [Node2D.gd] [_ready()] >> 75 animal dead

[2020.06.02 15:53:53] | INFO  | [Node2D.gd] [_ready()] >> 130 animal born

[2020.06.02 15:53:56] | INFO  | [Node2D.gd] [_ready()] >> 131 animal born

[2020.06.02 15:53:57] | INFO  | [Node2D.gd] [_ready()] >> 132 animal born

[2020.06.02 15:53:57] | INFO  | [Node2D.gd] [_ready()] >> 76 animal dead

[2020.06.02 15:53:58] | INFO  | [Node2D.gd] [_ready()] >> 77 animal dead

[2020.06.02 15:53:58] | INFO  | [Node2D.gd] [_ready()] >> 133 animal born

[2020.06.02 15:53:59] | INFO  | [Node2D.gd] [_ready()] >> 134 animal born

[2020.06.02 15:53:59] | INFO  | [Node2D.gd] [_ready()] >> 135 animal born

[2020.06.02 15:54:01] | INFO  | [Node2D.gd] [_ready()] >> 79 animal dead

[2020.06.02 15:54:02] | INFO  | [Node2D.gd] [_ready()] >> 80 animal dead

[2020.06.02 15:54:02] | INFO  | [Node2D.gd] [_ready()] >> 136 animal born

[2020.06.02 15:54:02] | INFO  | [Node2D.gd] [_ready()] >> 81 animal dead

[2020.06.02 15:54:02] | INFO  | [Node2D.gd] [_ready()] >> 83 animal dead

[2020.06.02 15:54:02] | INFO  | [Node2D.gd] [_ready()] >> 137 animal born

[2020.06.02 15:54:03] | INFO  | [Node2D.gd] [_ready()] >> 138 animal born

[2020.06.02 15:54:05] | INFO  | [Node2D.gd] [_ready()] >> 139 animal born

[2020.06.02 15:54:05] | INFO  | [Node2D.gd] [_ready()] >> 140 animal born

[2020.06.02 15:54:05] | INFO  | [Node2D.gd] [_ready()] >> 141 animal born

[2020.06.02 15:54:05] | INFO  | [Node2D.gd] [_ready()] >> 142 animal born

[2020.06.02 15:54:05] | INFO  | [Node2D.gd] [_ready()] >> 143 animal born

[2020.06.02 15:54:07] | INFO  | [Node2D.gd] [_ready()] >> 85 animal dead

[2020.06.02 15:54:08] | INFO  | [Node2D.gd] [_ready()] >> 144 animal born

[2020.06.02 15:54:08] | INFO  | [Node2D.gd] [_ready()] >> 145 animal born

[2020.06.02 15:54:08] | INFO  | [Node2D.gd] [_ready()] >> 146 animal born

[2020.06.02 15:54:08] | INFO  | [Node2D.gd] [_ready()] >> 87 animal dead

[2020.06.02 15:54:08] | INFO  | [Node2D.gd] [_ready()] >> 88 animal dead

[2020.06.02 15:54:09] | INFO  | [Node2D.gd] [_ready()] >> 90 animal dead

[2020.06.02 15:54:10] | INFO  | [Node2D.gd] [_ready()] >> 92 animal dead

[2020.06.02 15:54:11] | INFO  | [Node2D.gd] [_ready()] >> 147 animal born

[2020.06.02 15:54:11] | INFO  | [Node2D.gd] [_ready()] >> 148 animal born

[2020.06.02 15:54:11] | INFO  | [Node2D.gd] [_ready()] >> 149 animal born

[2020.06.02 15:54:11] | INFO  | [Node2D.gd] [_ready()] >> 150 animal born

[2020.06.02 15:54:12] | INFO  | [Node2D.gd] [_ready()] >> 151 animal born

[2020.06.02 15:54:12] | INFO  | [Node2D.gd] [_ready()] >> 152 animal born

[2020.06.02 15:54:13] | INFO  | [Node2D.gd] [_ready()] >> 153 animal born

[2020.06.02 15:54:13] | INFO  | [Node2D.gd] [_ready()] >> 94 animal dead

[2020.06.02 15:54:13] | INFO  | [Node2D.gd] [_ready()] >> 154 animal born

[2020.06.02 15:54:16] | INFO  | [Node2D.gd] [_ready()] >> 95 animal dead

[2020.06.02 15:54:16] | INFO  | [Node2D.gd] [_ready()] >> 96 animal dead

[2020.06.02 15:54:17] | INFO  | [Node2D.gd] [_ready()] >> 155 animal born

[2020.06.02 15:54:17] | INFO  | [Node2D.gd] [_ready()] >> 156 animal born

[2020.06.02 15:54:17] | INFO  | [Node2D.gd] [_ready()] >> 157 animal born

[2020.06.02 15:54:18] | INFO  | [Node2D.gd] [_ready()] >> 98 animal dead

[2020.06.02 15:54:18] | INFO  | [Node2D.gd] [_ready()] >> 158 animal born

[2020.06.02 15:54:18] | INFO  | [Node2D.gd] [_ready()] >> 99 animal dead

[2020.06.02 15:54:19] | INFO  | [Node2D.gd] [_ready()] >> 159 animal born

[2020.06.02 15:54:19] | INFO  | [Node2D.gd] [_ready()] >> 160 animal born

[2020.06.02 15:54:19] | INFO  | [Node2D.gd] [_ready()] >> 101 animal dead

[2020.06.02 15:54:21] | INFO  | [Node2D.gd] [_ready()] >> 161 animal born

[2020.06.02 15:54:21] | INFO  | [Node2D.gd] [_ready()] >> 103 animal dead

[2020.06.02 15:54:21] | INFO  | [Node2D.gd] [_ready()] >> 104 animal dead

[2020.06.02 15:54:22] | INFO  | [Node2D.gd] [_ready()] >> 105 animal dead

[2020.06.02 15:54:22] | INFO  | [Node2D.gd] [_ready()] >> 162 animal born

[2020.06.02 15:54:22] | INFO  | [Node2D.gd] [_ready()] >> 106 animal dead

[2020.06.02 15:54:23] | INFO  | [Node2D.gd] [_ready()] >> 107 animal dead

[2020.06.02 15:54:23] | INFO  | [Node2D.gd] [_ready()] >> 108 animal dead

[2020.06.02 15:54:25] | INFO  | [Node2D.gd] [_ready()] >> 163 animal born

[2020.06.02 15:54:25] | INFO  | [Node2D.gd] [_ready()] >> 164 animal born

[2020.06.02 15:54:25] | INFO  | [Node2D.gd] [_ready()] >> 165 animal born

[2020.06.02 15:54:25] | INFO  | [Node2D.gd] [_ready()] >> 166 animal born

[2020.06.02 15:54:26] | INFO  | [Node2D.gd] [_ready()] >> 111 animal dead

[2020.06.02 15:54:26] | INFO  | [Node2D.gd] [_ready()] >> 112 animal dead

[2020.06.02 15:54:26] | INFO  | [Node2D.gd] [_ready()] >> 167 animal born

[2020.06.02 15:54:26] | INFO  | [Node2D.gd] [_ready()] >> 168 animal born

[2020.06.02 15:54:30] | INFO  | [Node2D.gd] [_ready()] >> 115 animal dead

[2020.06.02 15:54:31] | INFO  | [Node2D.gd] [_ready()] >> 116 animal dead

[2020.06.02 15:54:31] | INFO  | [Node2D.gd] [_ready()] >> 117 animal dead

[2020.06.02 15:54:31] | INFO  | [Node2D.gd] [_ready()] >> 169 animal born

[2020.06.02 15:54:32] | INFO  | [Node2D.gd] [_ready()] >> 170 animal born

[2020.06.02 15:54:32] | INFO  | [Node2D.gd] [_ready()] >> 171 animal born

[2020.06.02 15:54:32] | INFO  | [Node2D.gd] [_ready()] >> 172 animal born

[2020.06.02 15:54:32] | INFO  | [Node2D.gd] [_ready()] >> 173 animal born

[2020.06.02 15:54:33] | INFO  | [Node2D.gd] [_ready()] >> 174 animal born

[2020.06.02 15:54:33] | INFO  | [Node2D.gd] [_ready()] >> 175 animal born

[2020.06.02 15:54:33] | INFO  | [Node2D.gd] [_ready()] >> 120 animal dead

[2020.06.02 15:54:33] | INFO  | [Node2D.gd] [_ready()] >> 176 animal born

[2020.06.02 15:54:34] | INFO  | [Node2D.gd] [_ready()] >> 121 animal dead

[2020.06.02 15:54:34] | INFO  | [Node2D.gd] [_ready()] >> 122 animal dead

[2020.06.02 15:54:35] | INFO  | [Node2D.gd] [_ready()] >> 177 animal born

[2020.06.02 15:54:36] | INFO  | [Node2D.gd] [_ready()] >> 178 animal born

[2020.06.02 15:54:37] | INFO  | [Node2D.gd] [_ready()] >> 124 animal dead

[2020.06.02 15:54:37] | INFO  | [Node2D.gd] [_ready()] >> 125 animal dead

[2020.06.02 15:54:38] | INFO  | [Node2D.gd] [_ready()] >> 179 animal born

[2020.06.02 15:54:38] | INFO  | [Node2D.gd] [_ready()] >> 180 animal born

[2020.06.02 15:54:38] | INFO  | [Node2D.gd] [_ready()] >> 181 animal born

[2020.06.02 15:54:38] | INFO  | [Node2D.gd] [_ready()] >> 182 animal born

[2020.06.02 15:54:38] | INFO  | [Node2D.gd] [_ready()] >> 126 animal dead

[2020.06.02 15:54:39] | INFO  | [Node2D.gd] [_ready()] >> 183 animal born

[2020.06.02 15:54:39] | INFO  | [Node2D.gd] [_ready()] >> 127 animal dead

[2020.06.02 15:54:39] | INFO  | [Node2D.gd] [_ready()] >> 129 animal dead

[2020.06.02 15:54:40] | INFO  | [Node2D.gd] [_ready()] >> 184 animal born

[2020.06.02 15:54:40] | INFO  | [Node2D.gd] [_ready()] >> 185 animal born

[2020.06.02 15:54:41] | INFO  | [Node2D.gd] [_ready()] >> 186 animal born

[2020.06.02 15:54:41] | INFO  | [Node2D.gd] [_ready()] >> 187 animal born

[2020.06.02 15:54:43] | INFO  | [Node2D.gd] [_ready()] >> 130 animal dead

[2020.06.02 15:54:43] | INFO  | [Node2D.gd] [_ready()] >> 188 animal born

[2020.06.02 15:54:46] | INFO  | [Node2D.gd] [_ready()] >> 131 animal dead

[2020.06.02 15:54:46] | INFO  | [Node2D.gd] [_ready()] >> 189 animal born

[2020.06.02 15:54:46] | INFO  | [Node2D.gd] [_ready()] >> 190 animal born

[2020.06.02 15:54:47] | INFO  | [Node2D.gd] [_ready()] >> 191 animal born

[2020.06.02 15:54:48] | INFO  | [Node2D.gd] [_ready()] >> 192 animal born

[2020.06.02 15:54:48] | INFO  | [Node2D.gd] [_ready()] >> 133 animal dead

[2020.06.02 15:54:49] | INFO  | [Node2D.gd] [_ready()] >> 193 animal born

[2020.06.02 15:54:49] | INFO  | [Node2D.gd] [_ready()] >> 134 animal dead

[2020.06.02 15:54:49] | INFO  | [Node2D.gd] [_ready()] >> 135 animal dead

[2020.06.02 15:54:49] | INFO  | [Node2D.gd] [_ready()] >> 194 animal born

[2020.06.02 15:54:50] | INFO  | [Node2D.gd] [_ready()] >> 195 animal born

[2020.06.02 15:54:50] | INFO  | [Node2D.gd] [_ready()] >> 196 animal born

[2020.06.02 15:54:50] | INFO  | [Node2D.gd] [_ready()] >> 197 animal born

[2020.06.02 15:54:51] | INFO  | [Node2D.gd] [_ready()] >> 198 animal born

[2020.06.02 15:54:52] | INFO  | [Node2D.gd] [_ready()] >> 136 animal dead

[2020.06.02 15:54:52] | INFO  | [Node2D.gd] [_ready()] >> 137 animal dead

[2020.06.02 15:54:54] | INFO  | [Node2D.gd] [_ready()] >> 199 animal born

[2020.06.02 15:54:54] | INFO  | [Node2D.gd] [_ready()] >> 200 animal born

[2020.06.02 15:54:55] | INFO  | [Node2D.gd] [_ready()] >> 139 animal dead

[2020.06.02 15:54:55] | INFO  | [Node2D.gd] [_ready()] >> 140 animal dead

[2020.06.02 15:54:55] | INFO  | [Node2D.gd] [_ready()] >> 141 animal dead

[2020.06.02 15:54:55] | INFO  | [Node2D.gd] [_ready()] >> 143 animal dead

[2020.06.02 15:54:56] | INFO  | [Node2D.gd] [_ready()] >> 201 animal born

[2020.06.02 15:54:57] | INFO  | [Node2D.gd] [_ready()] >> 202 animal born

