[2020.05.24 17:02:30] | INFO  | [Node2D.gd] [_ready()] >> 71 animal born

[2020.05.24 17:02:35] | INFO  | [Node2D.gd] [_ready()] >> 72 animal born

[2020.05.24 17:02:35] | INFO  | [Node2D.gd] [_ready()] >> 73 animal born

[2020.05.24 17:02:36] | INFO  | [Node2D.gd] [_ready()] >> 74 animal born

[2020.05.24 17:02:38] | INFO  | [Node2D.gd] [_ready()] >> 75 animal born

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 1 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 3 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 4 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 6 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 7 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 8 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 9 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 10 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 11 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 12 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 13 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 14 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 15 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 16 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 18 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 19 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 21 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 22 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 23 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 24 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 25 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 26 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 27 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 28 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 29 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 30 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 31 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 34 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 37 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 38 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 39 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 40 animal dead

[2020.05.24 17:02:39] | INFO  | [Node2D.gd] [_ready()] >> 76 animal born

[2020.05.24 17:02:41] | INFO  | [Node2D.gd] [_ready()] >> 77 animal born

[2020.05.24 17:02:42] | INFO  | [Node2D.gd] [_ready()] >> 78 animal born

[2020.05.24 17:02:42] | INFO  | [Node2D.gd] [_ready()] >> 79 animal born

[2020.05.24 17:02:46] | INFO  | [Node2D.gd] [_ready()] >> 80 animal born

[2020.05.24 17:02:47] | INFO  | [Node2D.gd] [_ready()] >> 81 animal born

[2020.05.24 17:02:50] | INFO  | [Node2D.gd] [_ready()] >> 82 animal born

[2020.05.24 17:02:51] | INFO  | [Node2D.gd] [_ready()] >> 45 animal dead

[2020.05.24 17:02:51] | INFO  | [Node2D.gd] [_ready()] >> 54 animal dead

[2020.05.24 17:02:52] | INFO  | [Node2D.gd] [_ready()] >> 46 animal dead

[2020.05.24 17:02:53] | INFO  | [Node2D.gd] [_ready()] >> 47 animal dead

[2020.05.24 17:02:53] | INFO  | [Node2D.gd] [_ready()] >> 49 animal dead

[2020.05.24 17:02:53] | INFO  | [Node2D.gd] [_ready()] >> 50 animal dead

[2020.05.24 17:02:53] | INFO  | [Node2D.gd] [_ready()] >> 51 animal dead

[2020.05.24 17:02:53] | INFO  | [Node2D.gd] [_ready()] >> 52 animal dead

[2020.05.24 17:02:54] | INFO  | [Node2D.gd] [_ready()] >> 53 animal dead

[2020.05.24 17:02:54] | INFO  | [Node2D.gd] [_ready()] >> 55 animal dead

[2020.05.24 17:02:54] | INFO  | [Node2D.gd] [_ready()] >> 56 animal dead

[2020.05.24 17:02:56] | INFO  | [Node2D.gd] [_ready()] >> 83 animal born

[2020.05.24 17:02:56] | INFO  | [Node2D.gd] [_ready()] >> 84 animal born

[2020.05.24 17:02:57] | INFO  | [Node2D.gd] [_ready()] >> 85 animal born

[2020.05.24 17:02:57] | INFO  | [Node2D.gd] [_ready()] >> 68 animal dead

[2020.05.24 17:02:58] | INFO  | [Node2D.gd] [_ready()] >> 86 animal born

[2020.05.24 17:03:00] | INFO  | [Node2D.gd] [_ready()] >> 87 animal born

[2020.05.24 17:03:00] | INFO  | [Node2D.gd] [_ready()] >> 88 animal born

[2020.05.24 17:03:02] | INFO  | [Node2D.gd] [_ready()] >> 57 animal dead

[2020.05.24 17:03:02] | INFO  | [Node2D.gd] [_ready()] >> 89 animal born

[2020.05.24 17:03:03] | INFO  | [Node2D.gd] [_ready()] >> 58 animal dead

[2020.05.24 17:03:03] | INFO  | [Node2D.gd] [_ready()] >> 90 animal born

[2020.05.24 17:03:05] | INFO  | [Node2D.gd] [_ready()] >> 60 animal dead

[2020.05.24 17:03:06] | INFO  | [Node2D.gd] [_ready()] >> 62 animal dead

[2020.05.24 17:03:08] | INFO  | [Node2D.gd] [_ready()] >> 91 animal born

[2020.05.24 17:03:09] | INFO  | [Node2D.gd] [_ready()] >> 92 animal born

