[2021.11.10 23:09:46] | INFO  | [Node2D.gd] [_ready()] >> #54 animal born

[2021.11.10 23:09:47] | INFO  | [Node2D.gd] [_ready()] >> #55 animal born

[2021.11.10 23:09:48] | INFO  | [Node2D.gd] [_ready()] >> #23 animal dead

[2021.11.10 23:09:53] | INFO  | [Node2D.gd] [_ready()] >> #56 animal born

[2021.11.10 23:09:54] | INFO  | [Node2D.gd] [_ready()] >> #57 animal born

[2021.11.10 23:09:54] | INFO  | [Node2D.gd] [_ready()] >> #58 animal born

[2021.11.10 23:09:54] | INFO  | [Node2D.gd] [_ready()] >> #59 animal born

[2021.11.10 23:09:54] | INFO  | [Node2D.gd] [_ready()] >> #60 animal born

[2021.11.10 23:09:55] | INFO  | [Node2D.gd] [_ready()] >> #61 animal born

[2021.11.10 23:09:55] | INFO  | [Node2D.gd] [_ready()] >> #33 animal dead

[2021.11.10 23:09:56] | INFO  | [Node2D.gd] [_ready()] >> #34 animal dead

[2021.11.10 23:09:59] | INFO  | [Node2D.gd] [_ready()] >> #62 animal born

[2021.11.10 23:10:00] | INFO  | [Node2D.gd] [_ready()] >> #63 animal born

[2021.11.10 23:10:01] | INFO  | [Node2D.gd] [_ready()] >> #64 animal born

[2021.11.10 23:10:03] | INFO  | [Node2D.gd] [_ready()] >> #65 animal born

[2021.11.10 23:10:03] | INFO  | [Node2D.gd] [_ready()] >> #66 animal born

[2021.11.10 23:10:03] | INFO  | [Node2D.gd] [_ready()] >> #67 animal born

[2021.11.10 23:10:03] | INFO  | [Node2D.gd] [_ready()] >> #68 animal born

[2021.11.10 23:10:05] | INFO  | [Node2D.gd] [_ready()] >> #69 animal born

[2021.11.10 23:10:07] | INFO  | [Node2D.gd] [_ready()] >> #70 animal born

[2021.11.10 23:10:08] | INFO  | [Node2D.gd] [_ready()] >> #71 animal born

[2021.11.10 23:10:08] | INFO  | [Node2D.gd] [_ready()] >> #72 animal born

[2021.11.10 23:10:10] | INFO  | [Node2D.gd] [_ready()] >> #73 animal born

[2021.11.10 23:10:10] | INFO  | [Node2D.gd] [_ready()] >> #74 animal born

[2021.11.10 23:10:10] | INFO  | [Node2D.gd] [_ready()] >> #75 animal born

[2021.11.10 23:10:10] | INFO  | [Node2D.gd] [_ready()] >> #76 animal born

[2021.11.10 23:10:13] | INFO  | [Node2D.gd] [_ready()] >> #77 animal born

[2021.11.10 23:10:15] | INFO  | [Node2D.gd] [_ready()] >> #78 animal born

[2021.11.10 23:10:15] | INFO  | [Node2D.gd] [_ready()] >> #79 animal born

[2021.11.10 23:10:17] | INFO  | [Node2D.gd] [_ready()] >> #80 animal born

[2021.11.10 23:10:19] | INFO  | [Node2D.gd] [_ready()] >> #81 animal born

[2021.11.10 23:10:19] | INFO  | [Node2D.gd] [_ready()] >> #82 animal born

[2021.11.10 23:10:21] | INFO  | [Node2D.gd] [_ready()] >> #1 animal dead

[2021.11.10 23:10:21] | INFO  | [Node2D.gd] [_ready()] >> #2 animal dead

[2021.11.10 23:10:21] | INFO  | [Node2D.gd] [_ready()] >> #3 animal dead

[2021.11.10 23:10:21] | INFO  | [Node2D.gd] [_ready()] >> #4 animal dead

[2021.11.10 23:10:21] | INFO  | [Node2D.gd] [_ready()] >> #5 animal dead

[2021.11.10 23:10:21] | INFO  | [Node2D.gd] [_ready()] >> #6 animal dead

[2021.11.10 23:10:21] | INFO  | [Node2D.gd] [_ready()] >> #8 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #9 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #10 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #12 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #13 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #14 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #15 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #16 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #17 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #18 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #19 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #20 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #22 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #24 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #28 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #30 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #32 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #35 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #36 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #37 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #38 animal dead

[2021.11.10 23:10:22] | INFO  | [Node2D.gd] [_ready()] >> #39 animal dead

[2021.11.10 23:10:23] | INFO  | [Node2D.gd] [_ready()] >> #83 animal born

[2021.11.10 23:10:24] | INFO  | [Node2D.gd] [_ready()] >> #84 animal born

[2021.11.10 23:10:25] | INFO  | [Node2D.gd] [_ready()] >> #85 animal born

[2021.11.10 23:10:25] | INFO  | [Node2D.gd] [_ready()] >> #86 animal born

[2021.11.10 23:10:25] | INFO  | [Node2D.gd] [_ready()] >> #87 animal born

[2021.11.10 23:10:26] | INFO  | [Node2D.gd] [_ready()] >> #88 animal born

